timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759607078884,278,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,888,236,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607078889,275,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607078892,279,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607078993,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607079068,282,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607079103,279,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607079162,276,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607079165,279,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607079171,278,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,903,241,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607079271,275,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,235,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607079350,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607079382,278,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607079444,277,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,903,241,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607079439,282,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,903,235,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607079449,278,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607079546,282,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,282,0,0
